wallet,score,total_pnl,profit_factor,trades,timespan_hours,symbol_count
0xc0b2a1ce425d0cd8bc321c445fa6ae0eaed2e688,2096.675,51512.46,697.75,503,648.06,21
0xee9e949829ca987feecf90381050fdf43c6fdbd6,1192.097,2284.33,398.02,86,281.22,5
0x0aac6955688dc1cd3cafd52ebcade334fb1c9c3b,1002.729,263730.82,333.05,7659,1888.88,8
0xf46265a9acf0c5d333e0dfd39ce7146eb8db2241,673.877,1866.82,225.03,675,644.01,14
0xb1f2c0363f48149f35d88a3654b54531d349f858,524.51,231.34,175.36,119,375.74,4
0x1ca4d75d24dcd969ad9c8ad455c76ab8241fdf63,505.705,996.52,168.87,1511,1143.15,8
0x9d05ad2a1cdb117d9063c0a5218bea5bddcd9994,420.133,201.0,140.55,1002,330.31,2
0x40847f950a979956e5d42236843ba7e73f27c01f,341.455,394.93,114.67,54,438.5,2
0x8a820d3b050bafc0a1f3156706f28038aa292dce,269.945,12191.6,90.18,205,359.41,3
0xd8bc6f3ff98063ad356b1097f57bbe480e48a2a1,202.336,73.56,67.88,76,727.69,2
0xd87617659957f4d9cea85e9db85b2f1de677646a,137.856,2000475.61,45.35,17240,2277.95,30
0x37283486c96d2b9690cb9296292e6e354ceffb4b,97.505,19330.91,32.09,363,431.92,7
0x38bf9995e2ccb202c19e4406d2962dbc76904b77,80.206,1387.87,27.82,199,196.71,2
0xc078ab571a5c58a5d3adb560fb94abc9da3dfd60,79.261,53386.22,27.0,16350,508.66,6
0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,64.937,106771.04,20.53,4491,1685.55,21
0xae58db322be15464c1831b29540e42264cff2b23,64.412,72798.72,20.28,3580,1354.92,8
0x782f8cdb81124e0dea7506f2ecf0efa1c51421b1,50.113,15995.39,16.98,1063,1279.54,7
0x389e01794a4e40b5afdf4d7065bcdd9d0831cfdf,49.821,2260.98,16.97,221,1749.6,2
0xab350451b1e2538ccb7b9c6617f44d9ebc5ce3c3,39.162,752.17,13.86,84,57.2,4
0x545d57c7fe4866d435b021a94382577f2959e961,38.968,25969.4,13.69,22258,1287.1,23
0xa105930c38a97db8a33765f0614c0314fff9c274,31.61,156.0,11.21,67,296.85,1
0x891140a93bef082312952b48479a853e90952fc2,31.155,69285.51,9.41,773,935.14,18
0x833b99b27dac651d02080f5e220e929df891db06,27.925,2810548.58,8.18,14000,2533.12,9
0x45ea9ec54d4b9b75a1c3a03c9693799be698578b,26.878,16626.78,9.52,407,211.57,1
0xaf0966e3a6ab82cc1be3e1fb64880ae33efaedd4,25.423,504.93,9.16,294,871.48,2
0xb1ccdb4c28fe323ccf0ac7c801f5add732c0a7f8,22.443,45599.24,6.66,883,2304.39,22
0x1b5c2bbfd5f78f0201c7303c8301ba039c5ab2f4,22.138,7123.71,7.55,1154,4263.01,2
0x6f7bb2c586eef088572d3fe766552fe3ff685f22,21.246,775.13,9.47,1298,254.07,112
0x98d0e60828e17d1deba5b3924536909fe1387830,20.53,295154.65,6.49,18199,1286.35,22
0xc44cc6f8d3628c5ce6116745a0b177920ca01a81,20.247,148.24,8.75,240,1001.39,15
0xfe16580135f2f74ef7ecd2a22420adfa907bc7be,20.048,4856.62,7.12,805,2068.66,17
0x6f7c886f3625790da1610fc70f6a331e89eaccb1,19.043,5606.37,6.67,234,397.83,5
0xbc5cafd831501be517d3766cfca7638ccda41932,18.993,529.28,6.81,376,1867.63,7
0xf86aff1428030020d32e69d769f14fac7bc12513,18.094,3209.41,6.25,906,1021.5,6
0x4f6345e02187f1fbefefa14d84938477347f3953,17.933,392501.15,6.26,17890,1008.7,43
0x755695140dc83b7001638de76b7f1d4771e25f26,17.699,71899.69,4.74,2394,1492.51,14
0x8d56d30d58d1a2709befccea6642252bab6ed51e,17.236,98771.48,4.62,3896,3648.47,24
0xbae5e1fd212efdfae8a9ff44d5667c95f10f7902,16.899,234135.89,4.61,2225,1775.35,26
0xc6fb6956a1b9f1e1b43205f845b5ff529940586a,16.422,3104.87,5.84,2548,751.43,11
0x4fc185024bf30524a972531956a19496d327023c,15.841,670.86,6.48,114,889.37,3
0x1d3e2b1734853c99592e7e2279bd904c913ebc52,15.699,18712.81,5.43,981,608.44,3
0x6eb60edaff9516ee129d306d41f5450dbab5829d,15.594,358.99,5.94,491,442.6,10
0x897edf74f7ccc4a1b84154ea63a777ca5e53de99,15.33,119970.52,4.26,4934,1189.18,18
0x4da3f5a22c3f8b402ec21c6783c64a779dc5f205,15.13,217.42,5.63,276,1067.22,3
0x5769a040622d7380670d42b70b059d00cb98a4fc,13.34,270.93,5.04,139,287.29,8
0xa34be2b5349a9e1592dfa962b9fd8d08160e957e,13.188,6672.62,4.69,896,1499.6,4
0xbca5d375c4b17a4111925957ac9f75703603206d,13.12,1637.34,4.89,1770,662.74,12
0x2b79cc6239b8928d73e1d74267542123c6eda2a4,11.581,5239.76,4.85,1117,1817.82,37
0xcc33d2eedf3d33ff28b5662330bd3171de259b6d,11.014,111572.13,3.64,16432,11898.59,83
0x7385f8b5ab1303c8e476d371973db768f1a43bb4,9.852,465.78,4.12,66,898.95,6
0xb9a5b462c0b4f21b074757463c16ec3698a03b9d,9.764,66908.04,1.95,2948,3178.29,4
0x749df4a588b5e13018fc25c76c7256b8a539a789,9.758,405.63,5.81,114,694.15,7
0xc35bf47aca839e371eb70fc5d16a5b747ad4d8dd,9.511,287607.31,2.73,3552,2642.58,48
0xf94d1cfd380bbaa0d7ca33e00700e7e6be836ab1,9.053,5574.25,3.59,1414,1621.68,24
0x51af947d1374f48862de02489a03514b01edfdcc,8.729,5314.91,3.14,1846,4467.77,8
0x74191ce82d662db147539fa12a1b64e386376256,8.395,738.51,3.51,189,979.2,1
0x24603e9c30608f960ee9d82971d43ca3b76618b1,8.293,960.15,3.46,222,208.15,14
0x9a32ca25c2768716ef1fd453b3b751d63859bece,8.244,4621.15,3.2,85,356.78,3
0x3a1d11035cab6aa5339473e17163cfe8f5cc00b6,8.039,177.94,3.86,366,152.84,1
0x042c7da0c7d135a20fb9d0e3f56df970c66c2788,7.783,7498.94,3.64,2029,1464.19,58
0xbaa91d6651782949d024d3783172fd5c094cd8b6,7.691,42109.92,2.0,1913,1736.2,29
0x7a6d5fc57f6906f337c48fe2763c3a501304f79c,7.331,104039.27,2.53,11310,483.45,6
0x1c1855cc6a583948c5e6448eb71ba22062335eb8,7.079,736.5,2.99,526,489.01,10
0x44871d62caaeb8b91777be8aae0e23ee68b4c92d,7.039,264453.87,1.62,11456,848.32,1
0xf15e2997287a910f01421c10173b63e65e660651,7.01,371.45,3.0,616,1148.76,17
0x65250ffac3ff170f6e33c9123cf558e04013fa1a,6.906,126283.34,1.46,11432,2346.67,9
0xfbf4b6bfbe15db2ee1a6a22755808896e8d986a3,6.903,86930.36,2.19,6374,434.12,18
0xc450ac38becd7a0023b4e1ddb26524ca35789a13,6.708,10884.43,2.23,2665,1897.51,8
0x341dbdceb30e81bba62d05251d4165be372f98ac,6.69,3398.08,3.28,827,176.0,1
0xa7bc09ab239be430482fb4a0916225046f985781,6.432,36.5,3.19,110,1011.01,5
0xd13e59f40b2d7622656bbe29d625024b4572d90f,6.412,191.23,3.35,205,93.78,36
0x2cef0a7f84e722c77b271862da5fe2387028fa20,6.41,236274.61,1.62,25937,2424.47,22
0x5bdf9ca13a93dec338dea55b8b8786bb3d132d4b,6.296,502.99,2.7,163,138.91,1
0x42cb3c0bba4785637cf30d99f552d6b189473e00,6.245,3228.13,3.14,2553,3698.34,37
0xcdf73290cb271fc6b5aa3723eae9a0086baaa50f,6.139,37668.46,1.57,2082,3861.54,30
0xd42aa370fcd06c683b7154ffa799a8e00ac0121e,5.741,16975.47,1.94,1640,1855.81,13
0xe67f141977da22e5c34d15c19b35f180a1532715,5.732,58059.28,2.18,21313,941.46,22
0xc49cb6041c811017a63a2665dd3a4ff2a58cc109,5.685,20499.01,1.78,3768,1552.64,13
0x9fc9f94d0fd25363928a9edc4f49b99fd770389b,5.683,28405.78,1.75,3525,706.57,12
0x5461808abcf71724dc1114b9ded5f89d53cc0568,5.621,14831.78,1.95,8303,1744.29,3
0x56e1ed65b538802759a582382625d251512f5dec,5.428,82.33,2.99,77,1469.69,1
0xca230e816bdb34a46960c2f978a30a563d1ae9e0,5.381,115620.59,1.87,10882,429.32,2
0x506ded8b74abb81bb4e4faca1d4e36a2c65fddb9,5.294,20260.62,2.28,2003,1105.76,49
0x8213bdbd431ef5d5c532657038977677b6a111b3,5.003,1971.66,2.84,2351,360.63,33
0x9a8b924754308f876f865f409845bb2654c20f53,4.946,3215.77,2.38,298,793.52,5
0x6959fe71053a1cb646b5603634beea1ba65afae0,4.852,7549.36,2.14,7861,1552.58,5
0x7cb42a9fd91d7f2b506de9205254e41bede28439,4.732,79485.61,1.19,21895,3322.23,28
0xe2990ce029db870c805e90a1a8a1d8a1c52255d6,4.63,74492.74,3.25,14308,347.27,21
0x70240f913af26691d5efaaa7f0fa581f65be4b30,4.547,3641.84,2.94,602,113.89,3
0x083296ad99a25757c225dc606cb64b9f3ea103ed,4.503,1835.34,2.64,1371,2280.92,46
0x811f59abf9f115f34c34a85a3e894025dc15380b,4.463,2019.48,2.0,3406,3264.92,10
0x0696b8b7a68c1057576b2790848d63e7e95c451c,4.394,341.65,3.1,612,1217.08,89
0x7a33c9b8e411d49dde4cbc38201af37848eeb098,4.104,7916.57,2.36,348,469.93,1
0xa9b91ec3cd32ba4e5841b2bf6ec5d2c222e60243,4.088,50902.47,2.19,12519,347.63,2
0x122e43e5356d1e73b36f090b5116aecf29f6df80,4.068,389.06,2.36,1607,572.8,1
0x186bd60746c631283d23d28522498ad30af25361,4.02,161.35,2.49,117,352.61,28
0xe9b0f5794b008b927beb62e3ce1679f81aa80477,3.664,94912.15,1.28,34696,4116.44,58
0xa0fa36f97966496971b49dd0ce74f6b68d3f8f35,3.651,17305.11,1.44,7930,1743.0,11
0xe3d7bb7ac1c5ab8ba7f4df39eeb268a204fa9e28,3.628,692.9,1.69,671,4296.1,10
0xe377e2f11c745c294ad65686635217ec765059f2,3.619,29579.85,1.17,17153,2335.06,10
0x53830c75e22c9fcd864db07f59e81c659b325d84,3.603,2637.29,2.01,2864,1360.78,26
0x2d6485714417035d8932ce77031d6e48d8de3e7b,3.593,415.18,2.11,188,2068.82,10
0xb8e62505e8ec65da00e21637cd267caf3699c23c,3.516,112.48,2.07,165,735.1,5
0x2bdf5e97eb52a15e5582f40ff34fdb00496216af,3.463,3102.19,1.82,2934,854.4,16
0xe401ed3d1ffa970394a46c9cfc9a0f1d39142274,3.443,7134.59,1.29,3060,1565.53,3
0xd3fe5f9af28c260f946aca39464f6699a6285cc5,3.428,934.11,1.52,1706,1080.32,3
0x644492787dd077f59c42b7459c8bb5dcea6ee1f6,3.424,196.84,1.62,1023,1511.65,1
0xfc91d5c80859e754c755bfccea2ca406084f93f4,3.348,889.36,1.64,1502,379.74,10
0xaf9f722a676230cc44045efe26fe9a85801ca4fa,3.33,330983.52,1.38,13750,846.07,36
0x482954976e8778433e9446309e37b52648bd7404,3.31,3261.36,1.76,855,2260.28,28
0x3262eb301887933f28f45ecf2e3d8375e46a2f37,3.254,26624.68,1.48,15824,3775.32,36
0x28a950881cabca89900e59d354189b4860ca1b0e,3.25,129.91,1.98,353,278.99,3
0x3edffb87b876137096cffeb969fec24091e7e2bf,3.215,152.84,3.4,84,828.45,6
0x9af96ff34a471c4da3740067cb4f985a8c62c071,3.153,615.81,2.0,622,1148.16,43
0x91bbc135f9b0a8571885d11950fe879184bac073,3.075,200.1,2.83,67,380.54,11
0x70822cb3d038b637dd6c6338f3f1f83f805b2e2d,2.998,1700.67,2.25,242,318.99,9
0x266ddc516a8721e5418ce3911b0f531a62b66737,2.982,10174.1,1.78,892,1228.59,23
0x9f1920d0cbb63ed03376a1e09fd2851d601234c8,2.678,14102.54,1.2,8077,2014.66,18
0xfc98b6ec7f59ea13354bae6171a9120692fb8777,2.549,514872.3,1.58,66079,4115.5,66
0x11d79111d9529d76bf25474ba87d6365f18d35b5,2.525,374.75,2.22,159,983.04,4
0xa6a34f0bf2ccea9a1ddf9e9a973f17c498dc5e40,2.513,3167.43,1.35,2306,521.58,5
0x5a750001557da504e3ad0fa7244c0eb0e9b28258,2.476,16129.73,1.69,6617,2252.75,61
0xdf2fa90f6cc6f6ad71eab02907cd128a97d8c753,2.453,19114.43,1.34,14863,1204.22,11
0x1576e5438dc297d1923f142f1ef95b137bc8fe8a,2.452,232.67,1.92,119,767.1,3
0xabf763bc698f550fb2e5ee0d3b9dd7bffd2b7112,2.331,477.16,1.96,250,267.78,8
0xc95b1e32b15620eb341ceef2b7cb12873752d264,2.287,842.06,1.22,1689,364.28,1
0x881cd92459f09622680e711458b22c5335fba65b,2.27,31300.06,2.22,14335,403.82,4
0x4850d609d34389f5e3d8a61c41091f2f3de595c3,2.167,2687.24,1.76,295,225.34,3
0x9e1c00c2a7b98448cd2b2246870f848f00c9df77,2.152,111.57,1.62,286,642.02,9
0x0cd7fb4ff59c9e3534a40bc677f41154682fece7,2.067,23895.21,1.45,4341,1350.19,43
0x1065f66000e4813265473b8df475236250c84a7e,1.92,2299.0,1.55,1708,1708.54,12
0xd5e17c7015e3dbd4dd2eed3a462df6679a757b3a,1.875,12892.91,1.66,9526,805.68,19
0xaa763118f64adcf256ea617794d97b70f675c39f,1.785,34990.75,1.85,9837,510.47,27
0xac924effbb38554a02bbe247e0cc44b04139decb,1.77,469.5,1.37,568,3070.38,14
0xe3c6b106eadf2d4ae600843d27ada61b49af6e3e,1.744,562.92,1.2,1717,777.15,3
0x1c324b32b8a83c12199441ca909743ae2f3c9af4,1.727,546.02,1.39,1060,1267.68,28
0xd890331e75d076de2ae87225ea3f78d5bf4c2fc0,1.71,23558.69,1.1,15653,10935.71,39
0xb7d0e665a00ebc680caeba73b70fad758045798f,1.68,19970.19,1.33,3671,4387.34,35
0x01ffcc7285866e5cee14c8e807cb2e8d5f61079f,1.663,195165.6,1.69,8560,13430.02,150
0x18db1cab14f2886cee69c11ae0ad5b0b691c3a60,1.643,1761.3,2.02,1120,494.45,51
0x69e4c8ceb49042d74f473b3d5f6e2aee434977c7,1.549,3624.42,1.14,10582,1487.2,6
0xbabe6e689ab8f9cd645b22c0154ff5f4e26587b6,1.535,152.97,1.54,349,578.92,17
0x67013dd101d6c1afdfc0e26ff7f86903e74229f8,1.483,275.21,1.26,1091,740.07,14
0xf1ab1d15acb0f262ced6938b8af23fc3ffcbc35f,1.455,4445.83,1.27,5425,5709.2,27
0x49cba59fce90bfdb2ac76f84b6d5144a84bcb3a8,1.415,22305.84,1.12,25190,1416.8,1
0x91d26033579e07df92e43af5d7d24904724a8ae8,1.403,1869.31,1.58,1958,3163.86,30
0x19951dbda49ea27130a2bdcfa8b4eb788ebdcf5f,1.373,16353.08,1.38,12717,619.94,1
0x3bf52401e71019d35f3ecd7732541c1a4e6291a7,1.101,185.25,1.72,111,286.0,7
0x1a316588d98f36cf4076ded9c67a1ccb007907f3,1.099,271.77,1.84,299,2134.61,25
0xabf01ed4099f86c5837e02268fb31dea93e79604,1.066,2087.29,2.76,2858,1492.57,137
0xe86351e0f69bd808def36e7bb2f9107443838bb8,1.028,411306.42,1.49,43047,1766.95,60
0xc18c09572a71d080f356c5cad32f7479c1ae9339,1.023,13190.83,1.08,18045,2395.65,8
0x70f55932142a2765e508a8ec2342c7ca4f780bd3,0.983,219.13,1.48,585,2977.64,5
0x60611fb67c167ee7a223655e355b15aa4951e43f,0.925,3979.51,1.33,1919,886.61,18
0xdd4f66125defd0265f806a0ccfd0ee63e2bb4f02,0.905,8026.68,1.79,12568,990.52,51
0x0d975ea58d5a8c2cb28c868972772fdc3e94d961,0.801,853.79,2.01,174,1435.77,4
