wallet,score,total_pnl,profit_factor,trades,timespan_hours,symbol_count
0x5a9c734d86b596b381d042f63fe5fc98c7149ee4,0.759,135.97,1.77,702,347.0,3
0x384142ceb6e83e12dcea8399dba6d5996b0d434e,0.716,24319.68,1.57,12072,682.75,53
0x46c9ccc6857e33a8209706bb5043700b4608dda8,0.712,655.21,1.25,1866,903.08,11
0xe34d21d1980082c6dd1c2d7be6315187dfe4a718,0.606,777.98,1.39,4730,472.61,21
0x5b3eb321fc22243446df32a7123804e42da31f61,0.58,21.5,1.49,336,441.59,1
0x478ed6c83003ec70137d0076da4b5c1c40507ba7,0.481,6000.7,1.38,1164,1801.24,29
0x2ff2944a3bbf6e79848facaeddb2d986773dfaed,0.455,48883.72,1.46,15578,2526.6,147
0xf78470bb2d7272a5759eae081fc50dc8444975ce,0.39,14368.64,2.32,5985,1908.95,139
0x76fe081d8ef339c381d3b1a87fe8161be6b77777,0.278,3521.18,1.26,7792,3588.76,45
0x18940d23058b73fabf0b2c02025f5cbb4e5b64d2,0.273,12559.18,1.14,4187,1191.57,29
0xb5c55f076c5800430b73a5fa13bd4422ed0acfe8,0.257,75.66,1.23,653,1620.96,1
0xb15617cc71ece317e24360fc3b5643c6f5f51733,0.257,7425.29,1.15,11730,8206.73,17
0x0fd6694f6b2f0bab5eb516634e142ecaaecd03f9,0.145,46.42,1.53,200,236.19,3
0xe594e20208cebd3e3219c456e0651d7da95b15fe,-0.024,619.61,1.58,959,1031.3,26
0x7e8d4857732aef8c650e8e9c6f82c4618b60b60a,-0.06,243.55,1.32,257,2099.95,7
0x7cd5610833dfbae5e0cadc4f1cfff052940a2c90,-0.073,1910.01,1.14,1661,966.47,2
0xc55fc6f9a085492e419e03fa5319ac41ecdee157,-0.157,5645.71,1.77,641,164.07,4
0x7053e4a132c0331b7126d19949f649e7ea8347d1,-0.209,2836.88,1.21,12367,3376.81,40
0x557dd46ee1071247c71672aad915921222f4c3ce,-0.229,1307.38,1.44,14225,663.27,5
0x5a4d0edbbeb6bea24fbb2c5170482e4db448c508,-0.349,76.12,1.18,524,766.94,1
0x681f5cb9a3979dc9a4911712ce11a1fc6dc5fb22,-0.368,3658.8,1.3,1696,2211.04,18
0x43ffa50382866b166e08fe320bdc433faaefe6e6,-0.466,166.02,1.66,238,168.56,29
0xbb475febf78b528f4f0d4ae1a12541406565199c,-0.731,85907.04,1.22,14266,420.77,1
0xdf812ede7068e13b461d4071a85c316c65c6dffe,-0.789,6304.0,1.23,19754,1193.85,9
0xacae31c9b5c3ba7003f8166b916ad65f5c5a0fb6,-0.896,3826.08,1.1,14119,7880.62,65
0xcc4ec458ab51654cb5b69d61f178668a06721867,-0.982,62.17,1.39,585,202.33,62
0x502ad831f083a876e2d4e8859f1eb8b24688e063,-0.993,485.51,1.17,865,637.34,2
0xbe3f79ae0ab3294aaa3230c1155e912c05b6a55b,-1.014,10934.05,1.11,2835,1391.48,28
0x08a49e7f7133577aa942f1c24119ff1c6797126d,-1.039,26489.72,1.07,26203,1120.32,23
0x4ef1c5ae65ab5b37629b7aa523e7e95e7da528e3,-1.056,49256.66,2.2,10057,166.35,2
0x6cfd06cdcc11b5442d63fc567f794616ae63fa48,-1.109,3964.96,1.22,5222,3424.0,39
0x621c5551678189b9a6c94d929924c225ff1d63ab,-1.132,158253.93,1.31,14680,398.24,37
0xaeb5ae46eca70345985b0b2d19322a2333b2dd9e,-1.134,252.7,1.17,1175,2375.59,24
0x50291ead6c926ec5c15499df2de1287823b6ee09,-1.146,1310.18,1.25,624,1064.05,22
0x67ab0e9e3bde49bab8feb9465b9dbc9ff4603ba6,-1.181,60167.96,1.39,20838,7428.38,177
0x0d07f49c74cef05fa159e7263abdd7e5c28f4b57,-1.228,5769.66,1.43,14247,511.08,2
0xdf89d8a34caa0673a403d9bfe239f7b199bb4a25,-1.228,538.83,1.63,649,1277.23,81
0x97b4fe90ad41a90c74c1822fe929c25c57d6ef12,-1.33,1508.13,1.18,7508,10677.97,54
0xee83afee1163e049573a3d0c3951842a53a07fe8,-1.362,3451.02,1.26,2107,469.83,10
0x05320f4b89421ad8cce06c3a32a91c1e7cb0a589,-1.448,116.61,1.1,1132,419.32,20
0x93e47caf07f50ace21ea2a1e0fd57dabb5803ed1,-1.46,61.24,1.12,368,1316.44,1
0x87c283c42231be3396af0b29d0b91be91f3f9071,-1.491,265.92,2.26,250,168.15,5
0xec674dc14082d0774cb2fa2aa7c796dc2d82d694,-1.491,52.83,1.8,74,2298.61,4
0xec13223dce5cc08dd055bbe25fd19a245ac1e23a,-1.569,14.78,1.31,184,166.94,3
0xc74e56f16ad7d93226cf8c70978dfdafadd63955,-1.64,6202.3,1.26,2248,3746.37,23
0x335f45392f8d87745aaae68f5c192849afd9b60e,-1.721,77640.42,1.19,14667,411.96,1
0x0a07eb223ff53b8597b18148ab3dd823f9364d6c,-1.82,25767.96,1.05,15218,678.41,3
0xc68a3f85f57764ab9beaf163e074475688ac3af7,-1.835,277.66,1.96,293,411.09,46
0x4ba80c235b537573696166bdc01d78176bc2beec,-1.84,8004.4,1.13,11529,3840.07,51
0x9330e0935f2ce400ff35610d0be7e4e09aef0470,-1.866,521.65,1.06,2829,4098.81,18
0xa3e3e7277d4eba425eb4e51bc2a2dd50f853ec9c,-2.139,899.97,1.17,717,1441.68,9
0x91df37b6f577176d379679f6fd1594d0b78eb056,-2.164,882.94,1.41,247,792.21,5
0xc607a4e51ef1569e232a98f7b0d11ffe13098ebf,-2.387,731.69,1.57,358,1199.22,27
0x130925288bbdc7a1cb1e63210480c29c5a5b4a8e,-2.431,6087.89,1.29,1286,642.61,4
0x49051a3a2833ae3ac45255750733c79fa83c3225,-2.47,1063.79,1.09,2066,2341.74,41
0x265eac78fb57495674227c93065d67abe6f97f70,-2.476,17480.82,1.43,12808,361.11,15
0x642f526f735d7ed4d47604218020f8220b6623e1,-2.527,1063.37,1.18,2823,1099.33,48
0xd72cfd2424e26ba32e46b7b2aff95eff34247a71,-2.672,7175.76,1.21,12937,399.95,1
0x075c707b6c1b95405cc5f00273ab1a2a946bb384,-2.712,71049.76,1.11,18007,12344.73,159
0xe626e476e94b6dfb6567755a995a5c8520711270,-2.715,487.97,2.08,1793,107.24,11
0xf8553962eb71bb01ffb04e7b5ebe9728d5ce454c,-2.743,25.58,1.39,134,212.99,22
0x721fe4d9f1ac1941c37952651adb62c72a0c5ab6,-2.786,3547.51,1.25,6440,628.01,63
0x7b620fb3e862af010cae9a41b1a5cc8082648e66,-2.862,171.1,1.29,275,1914.91,14
0x6187c73a3e7b47b9abbaddb7e5ca13fc4085cdae,-2.949,70.73,1.09,666,1257.5,7
0x4bcc092a156905788bf2a1a59e5968623957210d,-2.986,187198.53,1.15,38966,699.18,1
0x72f6f89f3b669fb3b150ae1338630e0761d3ad6f,-2.989,228.98,1.25,743,218.07,11
0x5fffee2555a15899ad656c1a80f1b35cd0b2c0c1,-3.081,93852.45,2.4,11732,162.48,15
0x29149b0de01636eca0535cc586095c632f0cb203,-3.104,567.4,1.31,3669,416.71,37
0x14b5f5f1a234bec35afd203fe0525b2280c550d6,-3.358,3655.66,1.2,3072,2629.11,54
0x8651a24497a2581ed992be452f9ef6939a0ed2d7,-3.389,33.5,1.05,5920,1475.03,3
0x1442ad477ded1b0028b57621aa7b6f7eadb8f568,-3.47,2797.02,1.07,16166,5677.37,97
0x9f3e77cb89df964003053aa5b438e5697c77f4f9,-3.497,20256.8,1.57,22494,1314.56,126
0xfb796d777830fb71bf61f68a9561f1047b45c165,-3.497,91.7,1.32,127,201.55,1
0xe92c7b0a3b49e8053f309d4d1575d3b859c8968c,-3.984,6197.34,1.09,7605,2479.75,73
0x01f315a0c260ad7761d028a322d9e96889035f62,-4.114,17.73,1.16,293,683.25,4
0x07fd993f0fa3a185f7207adccd29f7a87404689d,-4.182,109475.05,2.56,13818,198.65,58
0xd47935ce22e71b37f20d30617afa998a6c89887c,-4.415,1180.06,1.11,6663,5715.36,98
0x7c61aed79097029cbd6f617bbed2c65a8b42d95d,-4.515,5609.02,1.13,17923,8415.26,128
0xa9e2d5e858304ecde300420cc8aa06dce678496e,-4.647,220.02,1.34,929,4704.14,119
0x88f17731836942b533f33958a302fb4c31bad3d0,-4.686,1237.49,1.09,12153,636.34,1
0xc4cda69c9354eb77bce1d70c349b2de691be80b8,-4.711,466.97,1.05,13282,2895.06,90
0x45f250be7471aa9eb8c5f7580022aa4b97f6576d,-4.834,102.8,1.21,1629,400.03,63
0xae89ff81bb4e03937eb046291f0450a6bab37d35,-4.906,808.2,1.15,12510,325.49,1
0x465b8f2134dff7af8b0b9a8d5f6f04cd810198a5,-5.004,76.43,1.19,815,198.32,1
0xdf5c5b2990883c69bcb89332bbf96ba2969ccc17,-5.126,2268.7,1.28,1684,1585.29,24
0xb31a7c4a3cb3a4c245328432ebbe9fb6c3d2fddc,-5.155,32.17,1.23,238,177.38,30
0x52cc89b8771de74322775d9519897ed3a11cc552,-5.218,9858.94,1.14,24483,1148.51,15
0xe6c650f79e5668859e6ec53f64a8daa4acaeab81,-5.638,9505.65,2.82,12272,165.18,3
0xf93d43f4b399547eed48bf437867ae0a7a184b7a,-5.738,13932.67,1.13,6047,3543.51,124
0xdf33b2896618731c9ef0ec1b3f460c03dc123b3e,-5.849,1679.15,1.18,3659,2108.75,141
0xc388d6787a785767c46ba60aaf58c978acadeec4,-6.3,9.6,1.15,196,205.81,24
0xe9ebad05dbd2457ffc4e2a7402e155aa4839ef54,-6.375,129.81,1.26,432,624.83,41
0xb9ccf4df65a33233fbcfafca39fd6da4869e5e4d,-6.471,3710.72,1.21,4219,3636.84,94
0x3a140f8456b03f25ace243a211dca7b6c4bdb994,-6.97,8042.41,2.52,12778,168.86,3
0xb3d4fdaa7d9eab92fa0a1fe58035af403635cb8f,-7.061,1052.65,1.14,6503,213.35,33
0x3a3491655a3d26cad9b6acd5a9021e27e4bbef53,-7.428,1072.25,1.16,517,1864.4,25
0x34fb5ec7d4e939161946340ea2a1f29254b893de,-7.993,66663.2,1.14,15802,243.24,37
0x617dbf1a4a5e0917200c80461228a09e9df148cd,-8.104,100.7,1.18,1920,761.92,109
0x726510fb5b838dde01a72a0522855118a1ef1b49,-8.43,1258.29,1.16,4159,1115.27,132
0x7dd6f02fef939cea86f0243358255f6b57a6cf0d,-8.725,2812.96,1.22,11979,197.9,1
0x2f725e38693f5ffa259d7131747c063da2200c38,-8.748,14716.94,1.31,13992,12731.45,117
0x0b1ace05eb9ef1c3a1951b763700ecad24f27741,-10.11,923.67,1.07,11984,200.87,1
0x297e3a29d58e799cf57395df1293cc4834edd828,-10.142,6831.24,2.96,15910,172.98,11
0x9a3664a58b6a6579319c44bdd06a381ec8b47b6a,-10.461,42488.06,1.44,20603,448.39,187
0x129de4c0746d75346efacc5828fca849d4e964ec,-11.514,1502.8,1.09,6234,13166.98,128
0xff4cd3826ecee12acd4329aada4a2d3419fc463c,-11.522,959.24,1.23,11346,156.09,1
0x49ba9baa20d355ba042af2be9772d2b2cd892f44,-11.606,1891.77,1.16,11101,199.2,2
0xaca2d79168f9e9072c089e5f7d6eb0daefc13915,-11.822,1091.43,1.17,10930,145.72,1
0xf21cd17b9db49fdb21bfdf714558cf8bde3221bd,-13.455,25945.96,1.35,18881,313.64,153
0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,-15.52,1391.74,1.19,13761,146.48,2
0x67cd5c1c4548c7ec1a20fadefca19ad42e6230da,-15.828,788.76,1.08,13571,149.82,1
0xb4d6fe0f1504a55c65a986ef55b9148a6f0dae7a,-16.428,2635.13,1.36,12543,123.02,1
0x350e33a777d510616fbdb483d1de3b50d1edfcfb,-16.491,270929.21,2.72,7878,54.84,11
0x6ecbb68c07bd4be7adb7f0365e9263e382aeca2d,-16.906,9637.44,1.2,17784,322.47,202
0x83027df4f3f749a1f9dd8bbc976eee49653c1d72,-19.435,671.21,1.05,13476,146.22,20
0xb6bfa5b79c1f06d5cf21d21e00f25d8da9fcfdb1,-20.375,289.29,1.11,13161,125.38,2
0x034d4f0b00827e4ac77d910071377f707ddd23d3,-21.355,25176.35,1.22,24379,288.63,156
0x7ca165f354e3260e2f8d5a7508cc9dd2fa009235,-21.808,32707.15,1.05,24153,253.46,2
0x984e16e759ac515784f90dd88443260e482c63c1,-22.726,11747.86,1.15,17940,239.03,168
0xf05359fe3426248c3eb48ca9474160dc4510b99d,-22.891,723.57,1.19,12026,92.46,1
0x7a9d45682babd8a2d79181623c75a7f615990b27,-23.397,2836.93,1.45,11774,128.46,179
0x4389a0e25fb85d51ea9a144e2c50ef3d8bea7254,-23.62,1257.39,1.21,11067,128.27,181
0xd2ccf2ebc5be12ef15235ed6dd70d3ec84859541,-24.303,6602.64,1.2,12673,140.24,171
0xfad17af4900f3d3afa663103f58b41607ee45d70,-24.782,2002.56,1.31,11782,132.89,183
0xe477c31a2f1b7a9a91fbec5406893b67064521f8,-26.676,1010.28,1.15,11199,119.99,181
0x6c48fc6a1fb77121c7ccc818fa333f9c435f66ad,-26.76,250.38,1.06,10825,80.23,2
0x1700acdd94010de35087b45b601d0e1b90c2697f,-27.858,45185.63,2.98,13080,63.67,3
0x6beffb9bec3364ae579fa7cb864effefa7bf2695,-27.872,12816.94,1.31,21150,130.34,12
0x4264b5a132e4f263d6de2e0d01512a99ea21ec6e,-28.337,588.12,1.09,11199,125.79,181
0xcde682fc64f38967b71cfd00803d4ba3d60e49d1,-28.671,1476.81,1.1,13688,87.44,1
0x03488d119ff425c17521e1fb0fafaf97c69902f3,-28.821,958.46,1.14,11234,129.9,180
0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,-29.49,4284.98,1.15,18254,126.55,43
0x48b5c751c2d63ac9134ce31f8d3e08b6836f6ee0,-32.609,2713.94,1.09,11910,72.4,44
0xa4a6e0fd7528a6f5c6ccbb3240ba8a2f825446cf,-33.146,12394.63,1.38,12888,70.86,11
0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,-36.64,13473.49,1.12,12578,65.31,40
0x67f7aa8fb95c47e6ea9c517b623e0701cbf9d9ba,-36.692,2736.4,1.25,13408,66.63,1
0xfbb64f9fb18aa6bcf9fe1a2097b3b79435008113,-38.695,2881.36,1.22,14256,67.8,1
0x847bd1ef4fede0fe191129894d63044843f4d473,-45.796,1146.65,1.08,15751,65.18,1
0x9d1eb5f9121e78faa5455d1b51cbf1a0c6e8340c,-52.516,6075.2,1.39,12182,43.15,1
0xc1914d36f97dc5557e4df26cbdab98e9c988ef37,-64.202,15093.35,1.87,14256,41.91,62
0x170a03a53fe05bf4ce6753cb0907d05e827bc3c6,-76.86,637.53,1.1,14089,35.46,2
0x15094c3ec74e8a43c082042815e0c135deebb152,-95.169,10784.17,1.7,14995,30.26,42
0x2025137a136bea7446deba681cbfc7cf1970840e,-102.754,23837.26,1.41,14735,27.75,30
0xadcbc1f36213b15399e0497508c50a1cda7bf08f,-105.422,5882.86,3.01,11763,20.57,9
0x223537ac9a856c31f4043e86ced86bb29f06653e,-108.807,817.27,1.79,13129,23.18,13
0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,-115.822,67120.91,18.9,11252,12.75,20
0x348e5365acfa48a26ada7da840ca611e29c950ef,-124.851,15304.95,1.43,19871,30.86,31
0xb2b1d1a7a034d9209a627e754ebb8d24988ca23a,-157.264,440.57,1.06,12464,16.34,80
0x33ad48ed92e3e91a98278f0f7456eae6eafa516e,-158.795,2951.56,1.38,12700,16.0,76
0xa880d6cc607a05ea617307ab3b0d335e8d8424ee,-159.315,787.95,1.33,11908,14.7,14
0x1dd4af3383fce2ee4a40d9fb6766cbfcce2ddbce,-174.41,5965.07,1.53,17232,19.53,36
0x31dea2516beee92135b96f464eeec3cf292a13f2,-178.665,35047.59,2.97,12445,13.1,5
0x727956612a8700627451204a3ae26268bd1a1525,-182.112,654.86,1.38,13223,14.31,18
0x2a72b57dea119cc0bac14df798f9e9b8b148267c,-188.52,8504.27,1.15,14062,14.82,23
0xb4321b142b2a03ce20fcab2007ff6990b9acba93,-192.662,13556.82,1.33,16820,17.16,31
0xf36c562be0598b8ce109998b6aa2d53ffcd8316b,-212.28,8734.71,2.03,12807,11.95,73
